Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temperature
2025-03-02T07:11:57.358Z,-0.472,0.175,0.862,-1.962,-1.389,-1.061,31.7
2025-03-02T07:11:58.507Z,-0.46,0.174,0.864,-1.389,1.511,2.687,31.5
2025-03-02T07:11:59.602Z,-0.481,0.185,0.872,0.382,1.87,1.656,31.5
2025-03-02T07:12:00.705Z,-0.476,0.239,0.829,1.107,-1.885,1.634,31.5
2025-03-02T07:12:01.803Z,-0.482,0.264,0.841,-1.786,-1.611,-0.366,31.6
2025-03-02T07:12:02.901Z,-0.459,0.158,0.857,-7.183,-1.947,-0.214,31.6
2025-03-02T07:12:04.000Z,-0.496,0.234,0.857,-0.206,-0.458,0.038,31.5
2025-03-02T07:12:05.096Z,-0.591,0.389,0.799,-2.176,-1.511,2.718,31.7
2025-03-02T07:12:06.193Z,-0.49,0.206,0.848,0.832,-1.893,0.565,31.6
2025-03-02T07:12:07.286Z,-0.448,0.411,0.799,19.183,-0.084,5.603,31.6
2025-03-02T07:12:08.375Z,-0.429,0.438,0.782,-1.779,-2.679,0.137,31.6
2025-03-02T07:12:09.465Z,-0.375,0.781,0.406,-98.344,-3.473,0.939,31.6
2025-03-02T07:12:10.605Z,-0.419,0.383,0.809,1.145,-1.397,0.252,31.5
2025-03-02T07:12:11.758Z,-0.422,0.381,0.816,-2.458,-3.817,0.137,31.7
2025-03-02T07:12:12.914Z,-0.411,0.376,0.806,20.244,1.038,2.374,31.6
2025-03-02T07:12:14.072Z,-0.442,0.155,0.876,15.122,-4.282,5.008,31.6
2025-03-02T07:12:15.164Z,-0.284,0.712,0.414,-235.992,25.26,16.221,31.6
2025-03-02T07:12:16.259Z,-0.365,0.477,0.828,102.031,-14.069,15.038,31.8
2025-03-02T07:12:17.353Z,-0.372,0.319,0.953,-84.672,17.183,-29.42,31.6
2025-03-02T07:12:18.448Z,-0.305,0.874,0.103,75.962,-15.588,-3.466,31.7
